1	Gauteng	2020-05-23 15:11:51.014338	2020-05-23 15:11:51.014338
2	Mpumalanga	2020-05-23 15:11:51.023781	2020-05-23 15:11:51.023781
3	North West	2020-05-23 15:11:51.059632	2020-05-23 15:11:51.059632
4	Western Cape	2020-05-23 15:11:51.067648	2020-05-23 15:11:51.067648
5	KwaZulu-Natal	2020-05-23 15:11:51.077171	2020-05-23 15:11:51.077171
6	Limpopo	2020-05-23 15:11:51.113708	2020-05-23 15:11:51.113708
7	Free State	2020-05-23 15:11:51.120901	2020-05-23 15:11:51.120901
8	Northern Cape	2020-05-23 15:11:51.130995	2020-05-23 15:11:51.130995
9	Eastern Cape	2020-05-23 15:11:51.165249	2020-05-23 15:11:51.165249
